,mean,std,min,max,median,CV
x_lm0,0.0,0.0,0.0,0.0,0.0,0.0
y_lm0,0.0,0.0,0.0,0.0,0.0,0.0
z_lm0,0.0,0.0,0.0,0.0,0.0,0.0
x_lm1,0.24668598,0.08901353,-0.5346884,0.5328174,0.2535719,0.3608374
y_lm1,-0.055703893,0.051839426,-0.3412741,0.32393906,-0.051681526,0.93062466
z_lm1,-0.103807665,0.06686629,-0.44208455,0.42569134,-0.10805405,0.6441363
x_lm2,0.45185393,0.14842668,-0.83143073,0.8792068,0.464376,0.32848376
y_lm2,-0.16972114,0.105838075,-0.61510444,0.6130056,-0.16796596,0.62359977
z_lm2,-0.17904513,0.10028709,-0.6220217,0.58735573,-0.17958932,0.5601218
x_lm3,0.54801035,0.18289487,-0.8693322,0.95789105,0.5690894,0.33374345
y_lm3,-0.26272678,0.15589513,-0.85328263,0.77433777,-0.26425245,0.5933736
z_lm3,-0.2574274,0.12616642,-0.81893414,0.68680185,-0.25424585,0.49010485
x_lm4,0.5688808,0.24136642,-0.9805676,0.9945658,0.59636515,0.42428294
y_lm4,-0.33113363,0.19547273,-0.9685765,0.9128444,-0.33694294,0.59031373
z_lm4,-0.33194855,0.15449941,-0.9976275,0.8499949,-0.32496327,0.4654318
x_lm5,0.32669827,0.1513823,-0.91401213,0.9934758,0.33625272,0.46337035
y_lm5,-0.39251995,0.13679473,-0.9257131,0.81320935,-0.40324,0.3485039
z_lm5,-0.12044462,0.124469236,-0.7572809,0.6583203,-0.11387886,1.0334146
x_lm6,0.44884872,0.18705034,-0.97861075,0.99921745,0.4596364,0.4167336
y_lm6,-0.50947845,0.18823591,-0.988384,0.967275,-0.53700256,0.36946785
z_lm6,-0.26555306,0.15053736,-0.9637455,0.8665883,-0.2568028,0.56688243
x_lm7,0.53158665,0.1978384,-0.94930804,0.99894124,0.55494934,0.37216586
y_lm7,-0.5208658,0.21113156,-0.9764325,0.8977903,-0.56540984,0.40534732
z_lm7,-0.3611922,0.16598517,-0.9825827,0.93736875,-0.35189977,0.45954806
x_lm8,0.581879,0.21304686,-0.9975617,0.9999426,0.60803705,0.366136
y_lm8,-0.51804495,0.24811901,-0.98760664,0.9093788,-0.55983746,0.47895268
z_lm8,-0.41318604,0.17648059,-0.9978287,0.99164015,-0.40316528,0.42712137
x_lm9,0.16027392,0.14636222,-0.8181183,0.95547915,0.16156377,0.9132003
y_lm9,-0.4005991,0.13858989,-0.95075756,0.8376624,-0.41730812,0.34595656
z_lm9,-0.15015867,0.11665333,-0.65150285,0.6480175,-0.14127105,0.77686703
x_lm10,0.28363577,0.20379487,-0.981559,0.9978949,0.27922234,0.7185091
y_lm10,-0.5105128,0.20339617,-0.99801975,0.96640235,-0.5492706,0.3984154
z_lm10,-0.30969703,0.14693049,-0.8494505,0.88730246,-0.3018044,0.47443298
x_lm11,0.3619963,0.21897395,-0.90051574,0.97091675,0.3647822,0.6049066
y_lm11,-0.47807693,0.24355139,-0.9780004,0.92373013,-0.51543045,0.50943977
z_lm11,-0.3844628,0.15439561,-0.9295192,0.9389908,-0.37559158,0.4015879
x_lm12,0.39893305,0.23780698,-0.97674763,0.99745184,0.39397642,0.5961075
y_lm12,-0.45005074,0.2935665,-0.99985754,0.9188519,-0.45689943,0.6522964
z_lm12,-0.410534,0.16444878,-0.98558027,0.9778454,-0.39856577,0.40057287
x_lm13,-0.0033847555,0.16360448,-0.82502294,0.9912929,-0.011841524,48.335545
y_lm13,-0.36995003,0.14096697,-0.91201085,0.7983667,-0.38978705,0.38104326
z_lm13,-0.19603153,0.10947634,-0.6487495,0.6280391,-0.18584438,0.5584629
x_lm14,0.11500917,0.22391172,-0.9825244,0.986656,0.09207038,1.9469031
y_lm14,-0.4470778,0.2065712,-0.9489778,0.9600893,-0.48391253,0.46204755
z_lm14,-0.36296684,0.13572325,-0.87339747,0.81404126,-0.35964856,0.3739274
x_lm15,0.19633012,0.2263696,-0.8630782,0.97931767,0.18203041,1.1530049
y_lm15,-0.38264295,0.23700176,-0.9658741,0.9116731,-0.38714874,0.61938095
z_lm15,-0.39002582,0.14171325,-0.9015991,0.8407311,-0.3821528,0.36334324
x_lm16,0.23223953,0.2365139,-0.9627444,0.9980141,0.21361478,1.018405
y_lm16,-0.33459675,0.27250132,-0.9996883,0.8566047,-0.2944771,0.8144171
z_lm16,-0.37359133,0.1597771,-0.9615709,0.8502804,-0.3626859,0.42767882
x_lm17,-0.16000015,0.20147365,-0.9098051,0.9886366,-0.18345878,1.259209
y_lm17,-0.31019503,0.14231768,-0.8178188,0.7224258,-0.32926065,0.45880064
z_lm17,-0.24946435,0.108626224,-0.6791764,0.65192354,-0.24125955,0.43543783
x_lm18,-0.06446282,0.25582367,-0.93269324,0.9952971,-0.09992355,3.9685457
y_lm18,-0.36401016,0.19652896,-0.88816625,0.8672653,-0.39203453,0.53989965
z_lm18,-0.37557104,0.12784179,-0.8862347,0.7715102,-0.37154225,0.3403931
x_lm19,0.00637046,0.27386665,-0.87549394,0.9892877,-0.009933007,42.990025
y_lm19,-0.33106214,0.22535773,-0.90830624,0.873271,-0.3384233,0.68071127
z_lm19,-0.3857296,0.13962838,-0.91209394,0.80398506,-0.3790641,0.36198512
x_lm20,0.04102938,0.2930979,-0.9077933,0.99814796,0.030627955,7.143609
y_lm20,-0.3049575,0.25656626,-0.99775976,0.8909956,-0.2771238,0.8413181
z_lm20,-0.36829576,0.15801989,-0.9679648,0.8267058,-0.3606167,0.42905703
