,precision,recall,f1-score,support
brother,1.0,0.78125,0.8771929824561403,32.0
bye,0.8292682926829268,0.918918918918919,0.8717948717948718,37.0
cat,0.9411764705882353,0.9411764705882353,0.9411764705882353,34.0
dog,0.75,0.84375,0.7941176470588235,32.0
drink,0.90625,0.7837837837837838,0.8405797101449275,37.0
finish,0.8918918918918919,0.9428571428571428,0.9166666666666666,35.0
food,0.8918918918918919,0.8918918918918919,0.8918918918918919,37.0
have,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0
hello,0.8823529411764706,0.9090909090909091,0.8955223880597015,33.0
home,0.9230769230769231,0.972972972972973,0.9473684210526315,37.0
hungry,0.9310344827586207,0.9,0.9152542372881356,30.0
listen,0.9473684210526315,0.9230769230769231,0.935064935064935,39.0
no,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0
now,0.9230769230769231,0.8888888888888888,0.9056603773584906,27.0
please,0.918918918918919,0.9714285714285714,0.9444444444444444,35.0
sad,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
see,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
wait,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0
water,0.918918918918919,0.9444444444444444,0.9315068493150684,36.0
yes,0.9166666666666666,0.9705882352941176,0.9428571428571428,34.0
accuracy,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091
macro avg,0.9116898752302893,0.9076519036077858,0.9082861384237029,671.0
weighted avg,0.9116939036189055,0.9090909090909091,0.9090103790004905,671.0
