,precision,recall,f1-score,support
brother,0.9583333333333334,0.71875,0.8214285714285714,32.0
bye,0.75,0.8918918918918919,0.8148148148148148,37.0
cat,0.8709677419354839,0.7941176470588235,0.8307692307692308,34.0
dog,0.6285714285714286,0.6875,0.6567164179104478,32.0
drink,0.7073170731707317,0.7837837837837838,0.7435897435897436,37.0
finish,0.8823529411764706,0.8571428571428571,0.8695652173913043,35.0
food,0.723404255319149,0.918918918918919,0.8095238095238095,37.0
have,0.9130434782608695,0.75,0.8235294117647058,28.0
hello,0.875,0.8484848484848485,0.8615384615384616,33.0
home,0.8717948717948718,0.918918918918919,0.8947368421052632,37.0
hungry,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0
listen,0.9444444444444444,0.8717948717948718,0.9066666666666666,39.0
no,0.7777777777777778,0.75,0.7636363636363637,28.0
now,0.7419354838709677,0.8518518518518519,0.7931034482758621,27.0
please,0.9354838709677419,0.8285714285714286,0.8787878787878788,35.0
sad,0.90625,0.7837837837837838,0.8405797101449275,37.0
see,1.0,0.7714285714285715,0.8709677419354839,35.0
wait,0.8148148148148148,0.7857142857142857,0.8,28.0
water,0.8918918918918919,0.9166666666666666,0.9041095890410958,36.0
yes,0.8378378378378378,0.9117647058823529,0.8732394366197183,34.0
accuracy,0.8315946348733234,0.8315946348733234,0.8315946348733234,0.8315946348733234
macro avg,0.8404499511472796,0.8287209182613594,0.83028941022146,671.0
weighted avg,0.8425019713144806,0.8315946348733234,0.8327584507245384,671.0
