,precision,recall,f1-score,support
A,1.0,0.9428571428571428,0.9705882352941176,35.0
B,0.9230769230769231,1.0,0.96,36.0
C,0.9444444444444444,1.0,0.9714285714285714,34.0
D,1.0,0.9512195121951219,0.975,41.0
DELETE,1.0,1.0,1.0,31.0
E,0.9743589743589743,0.95,0.9620253164556962,40.0
F,0.9791666666666666,1.0,0.9894736842105263,47.0
G,1.0,1.0,1.0,40.0
H,0.975609756097561,1.0,0.9876543209876543,40.0
I,1.0,0.95,0.9743589743589743,40.0
J,1.0,0.9767441860465116,0.9882352941176471,43.0
K,1.0,1.0,1.0,45.0
L,1.0,1.0,1.0,43.0
M,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
N,0.9523809523809523,0.9523809523809523,0.9523809523809523,21.0
O,0.972972972972973,0.9473684210526315,0.96,38.0
P,1.0,0.9696969696969697,0.9846153846153847,33.0
Q,1.0,0.9714285714285714,0.9855072463768116,35.0
R,1.0,1.0,1.0,41.0
S,0.9333333333333333,0.9767441860465116,0.9545454545454546,43.0
SPACE,0.8571428571428571,0.8888888888888888,0.8727272727272727,27.0
T,1.0,1.0,1.0,39.0
U,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0
V,1.0,1.0,1.0,41.0
W,1.0,1.0,1.0,40.0
X,1.0,0.9722222222222222,0.9859154929577465,36.0
Y,1.0,0.9767441860465116,0.9882352941176471,43.0
Z,1.0,1.0,1.0,38.0
accuracy,0.9792256846081209,0.9792256846081209,0.9792256846081209,0.9792256846081209
macro avg,0.976976572261851,0.9773374527862669,0.9768272383042615,1059.0
weighted avg,0.9801800059892715,0.9792256846081209,0.9794031081269172,1059.0
