,x_lm0,y_lm0,z_lm0,x_lm1,y_lm1,z_lm1,x_lm2,y_lm2,z_lm2,x_lm3,y_lm3,z_lm3,x_lm4,y_lm4,z_lm4,x_lm5,y_lm5,z_lm5,x_lm6,y_lm6,z_lm6,x_lm7,y_lm7,z_lm7,x_lm8,y_lm8,z_lm8,x_lm9,y_lm9,z_lm9,x_lm10,y_lm10,z_lm10,x_lm11,y_lm11,z_lm11,x_lm12,y_lm12,z_lm12,x_lm13,y_lm13,z_lm13,x_lm14,y_lm14,z_lm14,x_lm15,y_lm15,z_lm15,x_lm16,y_lm16,z_lm16,x_lm17,y_lm17,z_lm17,x_lm18,y_lm18,z_lm18,x_lm19,y_lm19,z_lm19,x_lm20,y_lm20,z_lm20
+,0.0,0.0,0.0,0.08008356,0.04833774,0.06442682,0.12978733,0.09921368,0.09506396,0.16848873,0.14623044,0.1183922,0.23511098,0.18410432,0.14399925,0.13976105,0.12845288,0.11866731,0.1692863,0.17913334,0.14706168,0.18220083,0.20993876,0.16323107,0.19800332,0.2464011,0.17366678,0.14418519,0.1300414,0.11147852,0.2037197,0.19602397,0.1467206,0.21940586,0.2542612,0.1547959,0.23387305,0.31615114,0.16383228,0.16513734,0.13144994,0.105159864,0.22903797,0.19872525,0.13595754,0.23458038,0.24940127,0.14061373,0.2424779,0.29904425,0.15773872,0.19975905,0.13113964,0.10424207,0.26434582,0.18460667,0.12492525,0.29185522,0.22339311,0.135156,0.31630045,0.26247817,0.15230681
/,0.0,0.0,0.0,0.09476542,0.055505782,0.07372838,0.15517184,0.10326408,0.10734946,0.17994589,0.148505,0.13371576,0.22507378,0.18672316,0.16134204,0.16254984,0.13857344,0.12683216,0.20438698,0.19017845,0.1541423,0.21903348,0.21182436,0.16902636,0.23506452,0.24723464,0.17935322,0.14630698,0.14503194,0.12096371,0.21076487,0.21121944,0.14806195,0.22459653,0.24456404,0.15376869,0.24656092,0.2863987,0.16485603,0.16437869,0.1508938,0.116750374,0.2281281,0.2160065,0.13928086,0.22775301,0.23873368,0.1440146,0.24179198,0.26664996,0.16102542,0.2195349,0.15408847,0.11917813,0.2644173,0.20912556,0.1355245,0.26359934,0.23516998,0.14724828,0.27337006,0.26282203,0.16602571
0,0.0,0.0,0.0,0.07041675,0.048533287,0.095276356,0.08747793,0.07202377,0.14124463,0.09261456,0.086560875,0.17095836,0.11719983,0.11278787,0.19750619,0.059426803,0.086263016,0.14567529,0.100480646,0.12213403,0.19510251,0.11081449,0.15473808,0.21570788,0.10378452,0.1902957,0.22317204,0.07056448,0.10922443,0.11370351,0.13939208,0.1707,0.17747888,0.19095802,0.25054508,0.17937501,0.24716158,0.31740826,0.16232136,0.11055644,0.13618173,0.08510288,0.18077977,0.20717408,0.13931029,0.21966672,0.2813079,0.12454459,0.27240583,0.33397368,0.10916201,0.153343,0.15826273,0.0672468,0.21206407,0.2270237,0.097742885,0.24314791,0.2805847,0.102147005,0.28900456,0.31340748,0.10993428
1,0.0,0.0,0.0,0.08906758,0.049591225,0.06321128,0.14807765,0.10106257,0.096559264,0.181901,0.14886922,0.12262183,0.24070197,0.18665117,0.15110695,0.14445217,0.12761542,0.12073443,0.17705663,0.16945612,0.1439028,0.18795393,0.18975224,0.15870693,0.20006216,0.23087469,0.16943665,0.1416631,0.12839586,0.11248736,0.1908146,0.18742661,0.14320472,0.206974,0.2322311,0.14968683,0.22432873,0.2884666,0.15846583,0.16011749,0.13077538,0.104841225,0.21051395,0.19404402,0.13177723,0.21111895,0.22913523,0.135808,0.21908078,0.2696986,0.15356073,0.19587597,0.13193543,0.104099,0.24288741,0.18570633,0.12403729,0.26044792,0.21789081,0.13392936,0.27866253,0.2526612,0.15117665
2,0.0,0.0,0.0,0.08745699,0.050845988,0.060115423,0.15057063,0.10663158,0.0911514,0.19493902,0.15658124,0.11624428,0.25622383,0.19570592,0.14453623,0.15473011,0.13523671,0.11686402,0.2015132,0.1843223,0.14238536,0.21531478,0.20770231,0.15747887,0.22956556,0.24598038,0.16749902,0.14847334,0.13301907,0.11082912,0.21305019,0.19651915,0.14239189,0.23098223,0.24128687,0.14962807,0.24771127,0.29826456,0.15796763,0.16050713,0.13260567,0.10534805,0.22100967,0.19874977,0.13356844,0.22541279,0.22963457,0.13816349,0.234703,0.26598692,0.152154,0.19003709,0.13296947,0.105686024,0.24283317,0.18812728,0.12599732,0.26359674,0.2190631,0.13592593,0.28452286,0.2518763,0.15116988
3,0.0,0.0,0.0,0.09157286,0.04999337,0.06464224,0.15300229,0.100055054,0.09725489,0.18962763,0.14719695,0.122450985,0.25058907,0.18380241,0.15043676,0.15031612,0.1301251,0.12390315,0.18436,0.17963526,0.15426965,0.19755039,0.20174192,0.17175072,0.21498603,0.23826677,0.18255629,0.14365542,0.12817073,0.11617853,0.20747466,0.18976836,0.1525934,0.22441657,0.23246157,0.16436645,0.2421883,0.2872663,0.1758243,0.16003872,0.12745485,0.10976869,0.22551186,0.194382,0.1433212,0.22476462,0.22802465,0.15205728,0.2297521,0.2632549,0.16683538,0.1949595,0.1269591,0.109648444,0.25396007,0.1831439,0.13416685,0.2698584,0.21563585,0.1479796,0.28518552,0.24811706,0.16546457
4,0.0,0.0,0.0,0.089696,0.049792722,0.06443085,0.15352026,0.10407951,0.09654194,0.19124809,0.15227067,0.120774284,0.24611297,0.1878105,0.14778484,0.14046268,0.13887596,0.121014364,0.17516099,0.18435621,0.14388236,0.19307396,0.20060778,0.157135,0.2118067,0.2317816,0.16652426,0.13169947,0.13879536,0.11229916,0.1841854,0.19216304,0.14026408,0.20741765,0.2268013,0.14898801,0.22898234,0.27687004,0.16013095,0.1471236,0.13757277,0.10444922,0.20199619,0.19423053,0.13084412,0.21736231,0.23077811,0.13879408,0.23265289,0.27787048,0.15840092,0.18188617,0.13467138,0.10257394,0.23739094,0.18269137,0.1233447,0.27122486,0.21369918,0.13664384,0.29991335,0.2503878,0.15596183
5,0.0,0.0,0.0,0.091138735,0.047756646,0.061219145,0.15589535,0.101692095,0.092607096,0.19716032,0.15170279,0.117403336,0.2605047,0.19246416,0.14543998,0.14590105,0.13926965,0.11884253,0.18720017,0.18979092,0.14246175,0.20010382,0.21206588,0.15770361,0.21517962,0.24921113,0.1682097,0.13628413,0.13760069,0.11122166,0.19745457,0.20061865,0.13984999,0.21411525,0.24352676,0.14799026,0.23045002,0.2982654,0.1583847,0.15213674,0.1355466,0.10372739,0.2156161,0.19906743,0.12861253,0.22302546,0.23752743,0.13510166,0.23206232,0.28413457,0.1551161,0.18818833,0.13283202,0.1022098,0.24755509,0.1851556,0.11984849,0.27504948,0.21592255,0.13097069,0.29846212,0.2506148,0.14943239
6,0.0,0.0,0.0,0.08111224,0.0476382,0.06429876,0.13882354,0.100512415,0.096193254,0.17459507,0.15041031,0.12146442,0.23564576,0.18982998,0.1504752,0.14557289,0.12611201,0.11883211,0.18275993,0.17494777,0.1445536,0.19152197,0.2013948,0.16120331,0.20255093,0.24238133,0.17241277,0.13711317,0.12778252,0.112351276,0.19823222,0.187417,0.14167242,0.21566091,0.23539966,0.15069027,0.2329366,0.2936167,0.1625791,0.14663814,0.13049798,0.10644758,0.2090242,0.19081964,0.13176523,0.21594903,0.2312176,0.14124635,0.22853225,0.27783617,0.16415192,0.17639461,0.13295129,0.10614354,0.2317452,0.18283139,0.12531136,0.25819054,0.21260446,0.13976167,0.28408337,0.24587508,0.16070327
7,0.0,0.0,0.0,0.08681224,0.04951786,0.06732351,0.1455755,0.1016356,0.10088379,0.18345167,0.14782397,0.12598132,0.24592248,0.18290088,0.15391946,0.13687171,0.13121834,0.12111585,0.17207325,0.17848188,0.14703378,0.18938191,0.19974594,0.16274522,0.20826669,0.23682508,0.17324549,0.13352261,0.130064,0.111710794,0.19373073,0.18693972,0.14243485,0.2206225,0.22946277,0.15074375,0.24346516,0.28460407,0.16109002,0.15326156,0.1289311,0.10444641,0.2173938,0.18775518,0.13247119,0.22543077,0.2230272,0.13766229,0.23540919,0.26210496,0.15339145,0.19129568,0.1268496,0.10429389,0.25518098,0.17488268,0.124439165,0.2886923,0.20921509,0.1347242,0.31634098,0.24749859,0.15156555
